51300015651,fgg,94,275
51300029034,ecg,127,252
51300034982,efa,13,272
51300144600,ffb,213,100
51300147434,fdf,17,85
51300206360,bgb,25,163
51300230782,fea,199,65
51300256194,dfb,106,160
51300275211,cfa,48,10
51300306045,eab,70,90
51300310030,dfb,32,185
51300314715,ace,123,60
51300324644,cad,256,45
51300349517,gcf,160,203
51300405667,ecd,276,262
51300415525,bgc,49,141
51300416241,aba,109,22
51300417250,fff,169,64
51300438559,bec,134,88
51300470277,gba,178,140
51300471370,bdg,284,294
51300503872,egd,59,56
51300521155,eca,64,296
51300524061,acb,111,181
51300543541,cbc,43,287
51300556720,dbd,171,80
51300611837,eab,157,81
51300707425,gbb,115,297
51300710205,afg,38,213
51300767119,dda,180,139
51300793599,gda,226,182
51300794478,dfg,279,33
51300803561,adf,278,186
51300843334,adc,139,56
51300861418,efe,248,121
51300932310,ecd,282,306
51300947124,cbe,133,180
51300965272,bgg,42,31
51300970159,add,107,259
51300975436,cdf,199,172
51300976791,ebc,72,224
51301010254,aeb,97,166
51301034652,dgb,113,253
51301078230,gdf,219,196
51301114543,eed,200,46
51301122309,ecf,132,30
51301194381,dff,55,9
51301214338,bbb,100,253
51301235913,cba,55,108
51301270224,cgd,71,223
51301271133,edg,101,202
51301348078,edd,164,250
51301440998,ebg,122,154
51301447349,ecb,31,182
51301480706,fcd,132,39
51301566079,dgb,114,273
51301589705,baa,28,142
51301601932,caa,28,176
51301671637,gfc,8,278
51301704574,aff,233,166
51301716224,cfc,289,244
51301723064,dea,144,75
51301730262,egc,15,11
51301738023,ffd,272,31
51301751307,gbd,156,81
51301795272,cba,132,115
51301799564,aga,236,45
51301809105,ggc,37,115
51301831038,ceb,168,192
51301871779,dcc,232,185
51301896127,eae,208,173
51301908934,dcc,52,160
51301920867,ecd,275,312
51301924115,eed,261,41
51301932083,ceb,227,159
51301934768,ggg,201,174
51301949837,gac,261,281
51301955277,fda,212,271
51301958138,efd,51,263
51301965798,efa,149,228
51302008695,bea,109,118
51302041026,dda,254,129
51302041773,eeb,207,143
51302090990,cfe,238,275
51302114870,aag,167,34
51302126051,baf,72,229
51302134349,deg,37,187
51302136931,dca,265,186
51302147171,cec,168,110
51302208001,cca,26,92
51302213568,dbd,293,84
51302292849,aaa,248,143
51302312676,ffe,209,55
51302315468,bde,202,171
51302317380,bab,236,162
51302320604,ffa,41,80
51302336974,cgb,145,157
51302344012,bff,195,216
51302354569,gff,83,103
51302395771,fba,210,47
51302396330,fge,284,238
51302399525,fga,79,174
51302550787,gdc,66,75
51302556506,fad,148,149
51302591426,gfb,256,117
51302601935,gag,154,288
51302603709,ffg,19,133
51302613357,bed,299,152
51302618159,cbg,267,168
51302634894,gcc,50,197
51302671671,cbf,199,32
51302673921,bab,13,155
51302676781,baf,95,224
51302681604,dcf,52,287
51302696497,fge,247,261
51302707430,dca,111,193
51302709812,bdf,4,247
51302719304,acg,133,56
51302720677,feg,12,256
51302746369,cee,48,128
51302747804,fga,254,184
51302761283,afe,224,34
51302769006,bgf,226,175
51302785250,cdg,122,73
51302793068,ded,192,163
51302846575,bdd,6,258
51302851736,def,265,15
51302855065,ggc,292,112
51302864911,adg,50,252
51302948236,cbf,205,31
51302965667,aga,138,48
51302970247,dce,30,260
51302978656,bcb,86,249
51303004065,gfb,233,109
51303016426,ade,139,190
51303058614,eef,59,225
51303116724,egf,176,250
51303128338,ece,231,220
51303143808,cge,97,258
51303176518,fed,196,217
51303182845,fbc,109,76
51303194205,daf,46,178
51303208145,gdf,230,205
51303242604,gfg,192,155
51303247509,gbg,30,82
51303263111,edf,74,240
51303284079,bgd,203,71
51303284746,gca,146,282
51303334707,gdc,296,81
51303350560,gbb,35,258
51303375000,fec,260,259
51303392353,edd,129,260
51303421773,bfb,204,222
51303424991,cfd,60,148
51303478288,abg,76,224
51303486072,dfg,197,34
51303492803,faf,131,150
51303500307,bca,121,53
51303532059,fbd,259,236
51303646068,dac,8,28
51303684138,gdd,209,280
51303736487,efb,4,265
